End Date of MMWR Week,Respiratory Illness,Age Group,Weekly Count ED Visits,as_of
2024-12-07,COVID-19,18-64 Years,7811,2025-08-15
2024-12-07,COVID-19,65+ Years,7364,2025-08-15
2024-12-07,Influenza,All Ages,28515,2025-08-15
2024-12-07,Influenza,00-01 Years,2111,2025-08-15
2024-12-07,Influenza,02-04 Years,2644,2025-08-15
2024-12-07,Influenza,05-11 Years,3897,2025-08-15
2024-12-07,Influenza,12-17 Years,1782,2025-08-15
2024-12-07,Influenza,18-64 Years,14171,2025-08-15
2024-12-07,Influenza,65+ Years,3910,2025-08-15
2024-12-07,RSV,All Ages,17214,2025-08-15
2024-12-07,RSV,00-01 Years,9375,2025-08-15
2024-12-07,RSV,02-04 Years,3870,2025-08-15
2024-12-07,RSV,05-11 Years,1129,2025-08-15
2024-12-07,RSV,12-17 Years,176,2025-08-15
2024-12-07,RSV,18-64 Years,1684,2025-08-15
2024-12-07,RSV,65+ Years,980,2025-08-15
2024-12-07,Combined,All Ages,63651,2025-08-15
2024-12-07,Combined,00-01 Years,13087,2025-08-15
2024-12-07,Combined,02-04 Years,6876,2025-08-15
2024-12-07,Combined,05-11 Years,5381,2025-08-15
2024-12-07,Combined,12-17 Years,2387,2025-08-15
2024-12-07,Combined,18-64 Years,23666,2025-08-15
2024-12-07,Combined,65+ Years,12254,2025-08-15
2024-12-14,COVID-19,All Ages,20499,2025-08-15
2024-12-14,COVID-19,00-01 Years,1666,2025-08-15
2024-12-14,COVID-19,02-04 Years,464,2025-08-15
2024-12-14,COVID-19,05-11 Years,568,2025-08-15
2024-12-14,COVID-19,12-17 Years,553,2025-08-15
2024-12-14,COVID-19,18-64 Years,8983,2025-08-15
2024-12-14,COVID-19,65+ Years,8265,2025-08-15
2024-12-14,Influenza,All Ages,49386,2025-08-15
2024-12-14,Influenza,00-01 Years,3081,2025-08-15
2024-12-14,Influenza,02-04 Years,4763,2025-08-15
2024-12-14,Influenza,05-11 Years,10035,2025-08-15
2024-12-14,Influenza,12-17 Years,4082,2025-08-15
2024-12-14,Influenza,18-64 Years,21393,2025-08-15
2024-12-14,Influenza,65+ Years,6032,2025-08-15
2024-12-14,RSV,All Ages,20148,2025-08-15
2024-12-14,RSV,00-01 Years,9991,2025-08-15
2024-12-14,RSV,02-04 Years,4908,2025-08-15
2024-12-14,RSV,05-11 Years,1631,2025-08-15
2024-12-14,RSV,12-17 Years,227,2025-08-15
2024-12-14,RSV,18-64 Years,1927,2025-08-15
2024-12-14,RSV,65+ Years,1464,2025-08-15
2024-12-14,Combined,All Ages,90033,2025-08-15
2024-12-14,Combined,00-01 Years,14738,2025-08-15
2024-12-14,Combined,02-04 Years,10135,2025-08-15
2024-12-14,Combined,05-11 Years,12234,2025-08-15
2024-12-14,Combined,12-17 Years,4862,2025-08-15
2024-12-14,Combined,18-64 Years,32303,2025-08-15
2024-12-14,Combined,65+ Years,15761,2025-08-15
2024-12-21,COVID-19,All Ages,26536,2025-08-15
2024-12-21,COVID-19,00-01 Years,2200,2025-08-15
2024-12-21,COVID-19,02-04 Years,601,2025-08-15
2024-12-21,COVID-19,05-11 Years,774,2025-08-15
2024-12-21,COVID-19,12-17 Years,754,2025-08-15
2024-12-21,COVID-19,18-64 Years,11567,2025-08-15
2024-12-21,COVID-19,65+ Years,10640,2025-08-15
2024-12-21,Influenza,All Ages,91270,2025-08-15
2024-12-21,Influenza,00-01 Years,5880,2025-08-15
2024-12-21,Influenza,02-04 Years,8619,2025-08-15
2024-12-21,Influenza,05-11 Years,19302,2025-08-15
2024-12-21,Influenza,12-17 Years,7935,2025-08-15
2024-12-21,Influenza,18-64 Years,38722,2025-08-15
2024-12-21,Influenza,65+ Years,10812,2025-08-15
2024-12-21,RSV,All Ages,25506,2025-08-15
2024-12-21,RSV,00-01 Years,12255,2025-08-15
2024-12-21,RSV,02-04 Years,6220,2025-08-15
2024-12-21,RSV,05-11 Years,2356,2025-08-15
2024-12-21,RSV,12-17 Years,326,2025-08-15
2024-12-21,RSV,18-64 Years,2544,2025-08-15
2024-12-21,RSV,65+ Years,1805,2025-08-15
2024-12-21,Combined,All Ages,143312,2025-08-15
2024-12-21,Combined,00-01 Years,20335,2025-08-15
2024-12-21,Combined,02-04 Years,15440,2025-08-15
2024-12-21,Combined,05-11 Years,22432,2025-08-15
2024-12-21,Combined,12-17 Years,9015,2025-08-15
2024-12-21,Combined,18-64 Years,52833,2025-08-15
2024-12-21,Combined,65+ Years,23257,2025-08-15
2024-12-28,COVID-19,All Ages,36749,2025-08-15
2024-12-28,COVID-19,00-01 Years,3495,2025-08-15
2024-12-28,COVID-19,02-04 Years,831,2025-08-15
2024-12-28,COVID-19,05-11 Years,808,2025-08-15
2024-12-28,COVID-19,12-17 Years,697,2025-08-15
2024-12-28,COVID-19,18-64 Years,15377,2025-08-15
2024-12-28,COVID-19,65+ Years,15541,2025-08-15
2024-12-28,Influenza,All Ages,154633,2025-08-15
2024-12-28,Influenza,00-01 Years,11415,2025-08-15
2024-12-28,Influenza,02-04 Years,14745,2025-08-15
2024-12-28,Influenza,05-11 Years,23250,2025-08-15
2024-12-28,Influenza,12-17 Years,8616,2025-08-15
2024-12-28,Influenza,18-64 Years,72728,2025-08-15
2024-12-28,Influenza,65+ Years,23879,2025-08-15
2024-12-28,RSV,All Ages,30761,2025-08-15
2024-12-28,RSV,00-01 Years,14758,2025-08-15
2024-12-28,RSV,02-04 Years,7161,2025-08-15
2024-12-28,RSV,05-11 Years,2647,2025-08-15
2024-12-28,RSV,12-17 Years,327,2025-08-15
2024-12-28,RSV,18-64 Years,3355,2025-08-15
2024-12-28,RSV,65+ Years,2513,2025-08-15
2024-12-28,Combined,All Ages,222143,2025-08-15
2024-12-28,Combined,00-01 Years,29668,2025-08-15
2024-12-28,Combined,02-04 Years,22737,2025-08-15
2024-12-28,Combined,05-11 Years,26705,2025-08-15
2024-12-28,Combined,12-17 Years,9640,2025-08-15
2024-12-28,Combined,18-64 Years,91460,2025-08-15
2024-12-28,Combined,65+ Years,41933,2025-08-15
2025-01-04,COVID-19,All Ages,39711,2025-08-15
2025-01-04,COVID-19,00-01 Years,3523,2025-08-15
2025-01-04,COVID-19,02-04 Years,783,2025-08-15
2025-01-04,COVID-19,05-11 Years,511,2025-08-15
2025-01-04,COVID-19,12-17 Years,529,2025-08-15
2025-01-04,COVID-19,18-64 Years,16925,2025-08-15
2025-01-04,COVID-19,65+ Years,17440,2025-08-15
2025-01-04,Influenza,All Ages,145762,2025-08-15
2025-01-04,Influenza,00-01 Years,11776,2025-08-15
2025-01-04,Influenza,02-04 Years,12301,2025-08-15
2025-01-04,Influenza,05-11 Years,12025,2025-08-15
2025-01-04,Influenza,12-17 Years,5372,2025-08-15
2025-01-04,Influenza,18-64 Years,75813,2025-08-15
2025-01-04,Influenza,65+ Years,28475,2025-08-15
2025-01-04,RSV,All Ages,30962,2025-08-15
2025-01-04,RSV,00-01 Years,15334,2025-08-15
2025-01-04,RSV,02-04 Years,5652,2025-08-15
2025-01-04,RSV,05-11 Years,1315,2025-08-15
2025-01-04,RSV,12-17 Years,323,2025-08-15
2025-01-04,RSV,18-64 Years,4571,2025-08-15
2025-01-04,RSV,65+ Years,3767,2025-08-15
2025-01-04,Combined,All Ages,216435,2025-08-15
2025-01-04,Combined,00-01 Years,30633,2025-08-15
2025-01-04,Combined,02-04 Years,18736,2025-08-15
2025-01-04,Combined,05-11 Years,13851,2025-08-15
2025-01-04,Combined,12-17 Years,6224,2025-08-15
2025-01-04,Combined,18-64 Years,97309,2025-08-15
2025-01-04,Combined,65+ Years,49682,2025-08-15
2025-01-11,COVID-19,All Ages,30078,2025-08-15
2025-01-11,COVID-19,00-01 Years,2603,2025-08-15
2025-01-11,COVID-19,02-04 Years,561,2025-08-15
2025-01-11,COVID-19,05-11 Years,544,2025-08-15
2025-01-11,COVID-19,12-17 Years,527,2025-08-15
2025-01-11,COVID-19,18-64 Years,13405,2025-08-15
2025-01-11,COVID-19,65+ Years,12438,2025-08-15
2025-01-11,Influenza,All Ages,116687,2025-08-15
2025-01-11,Influenza,00-01 Years,8372,2025-08-15
2025-01-11,Influenza,02-04 Years,10036,2025-08-15
2025-01-11,Influenza,05-11 Years,12100,2025-08-15
2025-01-11,Influenza,12-17 Years,5493,2025-08-15
2025-01-11,Influenza,18-64 Years,59560,2025-08-15
2025-01-11,Influenza,65+ Years,21126,2025-08-15
2025-01-11,RSV,All Ages,20880,2025-08-15
2025-01-11,RSV,00-01 Years,9586,2025-08-15
2025-01-11,RSV,02-04 Years,3366,2025-08-15
2025-01-11,RSV,05-11 Years,705,2025-08-15
2025-01-11,RSV,12-17 Years,279,2025-08-15
2025-01-11,RSV,18-64 Years,3700,2025-08-15
2025-01-11,RSV,65+ Years,3244,2025-08-15
2025-01-11,Combined,All Ages,167645,2025-08-15
2025-01-11,Combined,00-01 Years,20561,2025-08-15
2025-01-11,Combined,02-04 Years,13963,2025-08-15
2025-01-11,Combined,05-11 Years,13349,2025-08-15
2025-01-11,Combined,12-17 Years,6299,2025-08-15
2025-01-11,Combined,18-64 Years,76665,2025-08-15
2025-01-11,Combined,65+ Years,36808,2025-08-15
2025-01-18,COVID-19,All Ages,26997,2025-08-15
2025-01-18,COVID-19,00-01 Years,2277,2025-08-15
2025-01-18,COVID-19,02-04 Years,643,2025-08-15
2025-01-18,COVID-19,05-11 Years,879,2025-08-15
2025-01-18,COVID-19,12-17 Years,678,2025-08-15
2025-01-18,COVID-19,18-64 Years,12110,2025-08-15
2025-01-18,COVID-19,65+ Years,10410,2025-08-15
2025-01-18,Influenza,All Ages,150617,2025-08-15
2025-01-18,Influenza,00-01 Years,10058,2025-08-15
2025-01-18,Influenza,02-04 Years,14488,2025-08-15
2025-01-18,Influenza,05-11 Years,26173,2025-08-15
2025-01-18,Influenza,12-17 Years,10083,2025-08-15
2025-01-18,Influenza,18-64 Years,67496,2025-08-15
2025-01-18,Influenza,65+ Years,22319,2025-08-15
2025-01-18,RSV,All Ages,17403,2025-08-15
2025-01-18,RSV,00-01 Years,7431,2025-08-15
2025-01-18,RSV,02-04 Years,3172,2025-08-15
2025-01-18,RSV,05-11 Years,966,2025-08-15
2025-01-18,RSV,12-17 Years,253,2025-08-15
2025-01-18,RSV,18-64 Years,2915,2025-08-15
2025-01-18,RSV,65+ Years,2666,2025-08-15
2025-01-18,Combined,All Ages,195017,2025-08-15
2025-01-18,Combined,00-01 Years,19766,2025-08-15
2025-01-18,Combined,02-04 Years,18303,2025-08-15
2025-01-18,Combined,05-11 Years,28018,2025-08-15
2025-01-18,Combined,12-17 Years,11014,2025-08-15
2025-01-18,Combined,18-64 Years,82521,2025-08-15
2025-01-18,Combined,65+ Years,35395,2025-08-15
2025-01-25,COVID-19,All Ages,27151,2025-08-15
2025-01-25,COVID-19,00-01 Years,2657,2025-08-15
2025-01-25,COVID-19,02-04 Years,765,2025-08-15
2025-01-25,COVID-19,05-11 Years,1177,2025-08-15
2025-01-25,COVID-19,12-17 Years,794,2025-08-15
2025-01-25,COVID-19,18-64 Years,12137,2025-08-15
2025-01-25,COVID-19,65+ Years,9621,2025-08-15
2025-01-25,Influenza,All Ages,196450,2025-08-15
2025-01-25,Influenza,00-01 Years,13777,2025-08-15
2025-01-25,Influenza,02-04 Years,18771,2025-08-15
2025-01-25,Influenza,05-11 Years,33595,2025-08-15
2025-01-25,Influenza,12-17 Years,13744,2025-08-15
2025-01-25,Influenza,18-64 Years,88259,2025-08-15
2025-01-25,Influenza,65+ Years,28304,2025-08-15
2025-01-25,RSV,All Ages,16371,2025-08-15
2025-01-25,RSV,00-01 Years,6897,2025-08-15
2025-01-25,RSV,02-04 Years,3214,2025-08-15
2025-01-25,RSV,05-11 Years,1189,2025-08-15
2025-01-25,RSV,12-17 Years,221,2025-08-15
2025-01-25,RSV,18-64 Years,2667,2025-08-15
2025-01-25,RSV,65+ Years,2183,2025-08-15
2025-01-25,Combined,All Ages,239972,2025-08-15
2025-01-25,Combined,00-01 Years,23331,2025-08-15
2025-01-25,Combined,02-04 Years,22750,2025-08-15
2025-01-25,Combined,05-11 Years,35961,2025-08-15
2025-01-25,Combined,12-17 Years,14759,2025-08-15
2025-01-25,Combined,18-64 Years,103063,2025-08-15
2025-01-25,Combined,65+ Years,40108,2025-08-15
2025-02-01,COVID-19,All Ages,29871,2025-08-15
2025-02-01,COVID-19,00-01 Years,2799,2025-08-15
2025-02-01,COVID-19,02-04 Years,807,2025-08-15
2025-02-01,COVID-19,05-11 Years,1472,2025-08-15
2025-02-01,COVID-19,12-17 Years,1200,2025-08-15
2025-02-01,COVID-19,18-64 Years,13437,2025-08-15
2025-02-01,COVID-19,65+ Years,10156,2025-08-15
2025-02-01,Influenza,All Ages,247050,2025-08-15
2025-02-01,Influenza,00-01 Years,16169,2025-08-15
2025-02-01,Influenza,02-04 Years,21959,2025-08-15
2025-02-01,Influenza,05-11 Years,40144,2025-08-15
2025-02-01,Influenza,12-17 Years,18376,2025-08-15
2025-02-01,Influenza,18-64 Years,111171,2025-08-15
2025-02-01,Influenza,65+ Years,39231,2025-08-15
2025-02-01,RSV,All Ages,16326,2025-08-15
2025-02-01,RSV,00-01 Years,6863,2025-08-15
2025-02-01,RSV,02-04 Years,2926,2025-08-15
2025-02-01,RSV,05-11 Years,1147,2025-08-15
2025-02-01,RSV,12-17 Years,319,2025-08-15
2025-02-01,RSV,18-64 Years,2770,2025-08-15
2025-02-01,RSV,65+ Years,2301,2025-08-15
2025-02-01,Combined,All Ages,293247,2025-08-15
2025-02-01,Combined,00-01 Years,25831,2025-08-15
2025-02-01,Combined,02-04 Years,25692,2025-08-15
2025-02-01,Combined,05-11 Years,42763,2025-08-15
2025-02-01,Combined,12-17 Years,19895,2025-08-15
2025-02-01,Combined,18-64 Years,127378,2025-08-15
2025-02-01,Combined,65+ Years,51688,2025-08-15
2025-02-08,COVID-19,All Ages,30362,2025-08-15
2025-02-08,COVID-19,00-01 Years,2981,2025-08-15
2025-02-08,COVID-19,02-04 Years,932,2025-08-15
2025-02-08,COVID-19,05-11 Years,1550,2025-08-15
2025-02-08,COVID-19,12-17 Years,1378,2025-08-15
2025-02-08,COVID-19,18-64 Years,13506,2025-08-15
2025-02-08,COVID-19,65+ Years,10015,2025-08-15
2025-02-08,Influenza,All Ages,245084,2025-08-15
2025-02-08,Influenza,00-01 Years,16502,2025-08-15
2025-02-08,Influenza,02-04 Years,22969,2025-08-15
2025-02-08,Influenza,05-11 Years,41786,2025-08-15
2025-02-08,Influenza,12-17 Years,18419,2025-08-15
2025-02-08,Influenza,18-64 Years,104189,2025-08-15
2025-02-08,Influenza,65+ Years,41219,2025-08-15
2025-02-08,RSV,All Ages,15954,2025-08-15
2025-02-08,RSV,00-01 Years,6505,2025-08-15
2025-02-08,RSV,02-04 Years,2978,2025-08-15
2025-02-08,RSV,05-11 Years,1276,2025-08-15
2025-02-08,RSV,12-17 Years,383,2025-08-15
2025-02-08,RSV,18-64 Years,2511,2025-08-15
2025-02-08,RSV,65+ Years,2301,2025-08-15
2025-02-08,Combined,All Ages,291400,2025-08-15
2025-02-08,Combined,00-01 Years,25988,2025-08-15
2025-02-08,Combined,02-04 Years,26879,2025-08-15
2025-02-08,Combined,05-11 Years,44612,2025-08-15
2025-02-08,Combined,12-17 Years,20180,2025-08-15
2025-02-08,Combined,18-64 Years,120206,2025-08-15
2025-02-08,Combined,65+ Years,53535,2025-08-15
2025-02-15,COVID-19,All Ages,26043,2025-08-15
2025-02-15,COVID-19,00-01 Years,2584,2025-08-15
2025-02-15,COVID-19,02-04 Years,733,2025-08-15
2025-02-15,COVID-19,05-11 Years,1136,2025-08-15
2025-02-15,COVID-19,12-17 Years,1042,2025-08-15
2025-02-15,COVID-19,18-64 Years,11550,2025-08-15
2025-02-15,COVID-19,65+ Years,8998,2025-08-15
2025-02-15,Influenza,All Ages,183514,2025-08-15
2025-02-15,Influenza,00-01 Years,12573,2025-08-15
2025-02-15,Influenza,02-04 Years,16506,2025-08-15
2025-02-15,Influenza,05-11 Years,29500,2025-08-15
2025-02-15,Influenza,12-17 Years,12332,2025-08-15
2025-02-15,Influenza,18-64 Years,79361,2025-08-15
2025-02-15,Influenza,65+ Years,33242,2025-08-15
2025-02-15,RSV,All Ages,13949,2025-08-15
2025-02-15,RSV,00-01 Years,5735,2025-08-15
2025-02-15,RSV,02-04 Years,2591,2025-08-15
2025-02-15,RSV,05-11 Years,981,2025-08-15
2025-02-15,RSV,12-17 Years,242,2025-08-15
2025-02-15,RSV,18-64 Years,2345,2025-08-15
2025-02-15,RSV,65+ Years,2055,2025-08-15
2025-02-15,Combined,All Ages,223506,2025-08-15
2025-02-15,Combined,00-01 Years,20892,2025-08-15
2025-02-15,Combined,02-04 Years,19830,2025-08-15
2025-02-15,Combined,05-11 Years,31617,2025-08-15
2025-02-15,Combined,12-17 Years,13616,2025-08-15
2025-02-15,Combined,18-64 Years,93256,2025-08-15
2025-02-15,Combined,65+ Years,44295,2025-08-15
2025-02-22,COVID-19,All Ages,22831,2025-08-15
2025-02-22,COVID-19,00-01 Years,2377,2025-08-15
2025-02-22,COVID-19,02-04 Years,581,2025-08-15
2025-02-22,COVID-19,05-11 Years,793,2025-08-15
2025-02-22,COVID-19,12-17 Years,811,2025-08-15
2025-02-22,COVID-19,18-64 Years,10248,2025-08-15
2025-02-22,COVID-19,65+ Years,8021,2025-08-15
2025-02-22,Influenza,All Ages,137400,2025-08-15
2025-02-22,Influenza,00-01 Years,9700,2025-08-15
2025-02-22,Influenza,02-04 Years,12259,2025-08-15
2025-02-22,Influenza,05-11 Years,20377,2025-08-15
2025-02-22,Influenza,12-17 Years,8203,2025-08-15
2025-02-22,Influenza,18-64 Years,60423,2025-08-15
2025-02-22,Influenza,65+ Years,26438,2025-08-15
2025-02-22,RSV,All Ages,12338,2025-08-15
2025-02-22,RSV,00-01 Years,5107,2025-08-15
2025-02-22,RSV,02-04 Years,2181,2025-08-15
2025-02-22,RSV,05-11 Years,841,2025-08-15
2025-02-22,RSV,12-17 Years,236,2025-08-15
2025-02-22,RSV,18-64 Years,2123,2025-08-15
2025-02-22,RSV,65+ Years,1850,2025-08-15
2025-02-22,Combined,All Ages,172569,2025-08-15
2025-02-22,Combined,00-01 Years,17184,2025-08-15
2025-02-22,Combined,02-04 Years,15021,2025-08-15
2025-02-22,Combined,05-11 Years,22011,2025-08-15
2025-02-22,Combined,12-17 Years,9250,2025-08-15
2025-02-22,Combined,18-64 Years,72794,2025-08-15
2025-02-22,Combined,65+ Years,36309,2025-08-15
2025-03-01,COVID-19,All Ages,21712,2025-08-15
2025-03-01,COVID-19,00-01 Years,2141,2025-08-15
2025-03-01,COVID-19,02-04 Years,530,2025-08-15
2025-03-01,COVID-19,05-11 Years,696,2025-08-15
2025-03-01,COVID-19,12-17 Years,723,2025-08-15
2025-03-01,COVID-19,18-64 Years,9928,2025-08-15
2025-03-01,COVID-19,65+ Years,7694,2025-08-15
2025-03-01,Influenza,All Ages,108782,2025-08-15
2025-03-01,Influenza,00-01 Years,7344,2025-08-15
2025-03-01,Influenza,02-04 Years,9446,2025-08-15
2025-03-01,Influenza,05-11 Years,15537,2025-08-15
2025-03-01,Influenza,12-17 Years,6695,2025-08-15
2025-03-01,Influenza,18-64 Years,47962,2025-08-15
2025-03-01,Influenza,65+ Years,21798,2025-08-15
2025-03-01,RSV,All Ages,10938,2025-08-15
2025-03-01,RSV,00-01 Years,4393,2025-08-15
2025-03-01,RSV,02-04 Years,1870,2025-08-15
2025-03-01,RSV,05-11 Years,732,2025-08-15
2025-03-01,RSV,12-17 Years,202,2025-08-15
2025-03-01,RSV,18-64 Years,1936,2025-08-15
2025-03-01,RSV,65+ Years,1805,2025-08-15
2025-03-01,Combined,All Ages,141432,2025-08-15
2025-03-01,Combined,00-01 Years,13878,2025-08-15
2025-03-01,Combined,02-04 Years,11846,2025-08-15
2025-03-01,Combined,05-11 Years,16965,2025-08-15
2025-03-01,Combined,12-17 Years,7620,2025-08-15
2025-03-01,Combined,18-64 Years,59826,2025-08-15
2025-03-01,Combined,65+ Years,31297,2025-08-15
2025-03-08,COVID-19,All Ages,21537,2025-08-15
2025-03-08,COVID-19,00-01 Years,2250,2025-08-15
2025-03-08,COVID-19,02-04 Years,523,2025-08-15
2025-03-08,COVID-19,05-11 Years,723,2025-08-15
2025-03-08,COVID-19,12-17 Years,658,2025-08-15
2025-03-08,COVID-19,18-64 Years,9721,2025-08-15
2025-03-08,COVID-19,65+ Years,7662,2025-08-15
2025-03-08,Influenza,All Ages,87328,2025-08-15
2025-03-08,Influenza,00-01 Years,5815,2025-08-15
2025-03-08,Influenza,02-04 Years,7638,2025-08-15
2025-03-08,Influenza,05-11 Years,13757,2025-08-15
2025-03-08,Influenza,12-17 Years,5844,2025-08-15
2025-03-08,Influenza,18-64 Years,37507,2025-08-15
2025-03-08,Influenza,65+ Years,16767,2025-08-15
2025-03-08,RSV,All Ages,9874,2025-08-15
2025-03-08,RSV,00-01 Years,3967,2025-08-15
2025-03-08,RSV,02-04 Years,1616,2025-08-15
2025-03-08,RSV,05-11 Years,596,2025-08-15
2025-03-08,RSV,12-17 Years,162,2025-08-15
2025-03-08,RSV,18-64 Years,1808,2025-08-15
2025-03-08,RSV,65+ Years,1725,2025-08-15
2025-03-08,Combined,All Ages,118739,2025-08-15
2025-03-08,Combined,00-01 Years,12032,2025-08-15
2025-03-08,Combined,02-04 Years,9777,2025-08-15
2025-03-08,Combined,05-11 Years,15076,2025-08-15
2025-03-08,Combined,12-17 Years,6664,2025-08-15
2025-03-08,Combined,18-64 Years,49036,2025-08-15
2025-03-08,Combined,65+ Years,26154,2025-08-15
2025-03-15,COVID-19,All Ages,21006,2025-08-15
2025-03-15,COVID-19,00-01 Years,2149,2025-08-15
2025-03-15,COVID-19,02-04 Years,482,2025-08-15
2025-03-15,COVID-19,05-11 Years,763,2025-08-15
2025-03-15,COVID-19,12-17 Years,668,2025-08-15
2025-03-15,COVID-19,18-64 Years,9439,2025-08-15
2025-03-15,COVID-19,65+ Years,7505,2025-08-15
2025-03-15,Influenza,All Ages,71456,2025-08-15
2025-03-15,Influenza,00-01 Years,4792,2025-08-15
2025-03-15,Influenza,02-04 Years,5813,2025-08-15
2025-03-15,Influenza,05-11 Years,11861,2025-08-15
2025-03-15,Influenza,12-17 Years,5193,2025-08-15
2025-03-15,Influenza,18-64 Years,30523,2025-08-15
2025-03-15,Influenza,65+ Years,13274,2025-08-15
2025-03-15,RSV,All Ages,8683,2025-08-15
2025-03-15,RSV,00-01 Years,3505,2025-08-15
2025-03-15,RSV,02-04 Years,1361,2025-08-15
2025-03-15,RSV,05-11 Years,498,2025-08-15
2025-03-15,RSV,12-17 Years,144,2025-08-15
2025-03-15,RSV,18-64 Years,1542,2025-08-15
2025-03-15,RSV,65+ Years,1633,2025-08-15
2025-03-15,Combined,All Ages,101145,2025-08-15
2025-03-15,Combined,00-01 Years,10446,2025-08-15
2025-03-15,Combined,02-04 Years,7656,2025-08-15
2025-03-15,Combined,05-11 Years,13122,2025-08-15
2025-03-15,Combined,12-17 Years,6005,2025-08-15
2025-03-15,Combined,18-64 Years,41504,2025-08-15
2025-03-15,Combined,65+ Years,22412,2025-08-15
2025-03-22,COVID-19,All Ages,18718,2025-08-15
2025-03-22,COVID-19,00-01 Years,2021,2025-08-15
2025-03-22,COVID-19,02-04 Years,454,2025-08-15
2025-03-22,COVID-19,05-11 Years,594,2025-08-15
2025-03-22,COVID-19,12-17 Years,554,2025-08-15
2025-03-22,COVID-19,18-64 Years,8389,2025-08-15
2025-03-22,COVID-19,65+ Years,6706,2025-08-15
2025-03-22,Influenza,All Ages,49801,2025-08-15
2025-03-22,Influenza,00-01 Years,3225,2025-08-15
2025-03-22,Influenza,02-04 Years,4063,2025-08-15
2025-03-22,Influenza,05-11 Years,8593,2025-08-15
2025-03-22,Influenza,12-17 Years,3884,2025-08-15
2025-03-22,Influenza,18-64 Years,21343,2025-08-15
2025-03-22,Influenza,65+ Years,8693,2025-08-15
2025-03-22,RSV,All Ages,7098,2025-08-15
2025-03-22,RSV,00-01 Years,2826,2025-08-15
2025-03-22,RSV,02-04 Years,1053,2025-08-15
2025-03-22,RSV,05-11 Years,396,2025-08-15
2025-03-22,RSV,12-17 Years,123,2025-08-15
2025-03-22,RSV,18-64 Years,1274,2025-08-15
2025-03-22,RSV,65+ Years,1426,2025-08-15
2025-03-22,Combined,All Ages,75617,2025-08-15
2025-03-22,Combined,00-01 Years,8072,2025-08-15
2025-03-22,Combined,02-04 Years,5570,2025-08-15
2025-03-22,Combined,05-11 Years,9583,2025-08-15
2025-03-22,Combined,12-17 Years,4561,2025-08-15
2025-03-22,Combined,18-64 Years,31006,2025-08-15
2025-03-22,Combined,65+ Years,16825,2025-08-15
2025-03-29,COVID-19,All Ages,17257,2025-08-15
2025-03-29,COVID-19,00-01 Years,1888,2025-08-15
2025-03-29,COVID-19,02-04 Years,400,2025-08-15
2025-03-29,COVID-19,05-11 Years,469,2025-08-15
2025-03-29,COVID-19,12-17 Years,525,2025-08-15
2025-03-29,COVID-19,18-64 Years,7764,2025-08-15
2025-03-29,COVID-19,65+ Years,6211,2025-08-15
2025-03-29,Influenza,All Ages,38654,2025-08-15
2025-03-29,Influenza,00-01 Years,2417,2025-08-15
2025-03-29,Influenza,02-04 Years,3089,2025-08-15
2025-03-29,Influenza,05-11 Years,6897,2025-08-15
2025-03-29,Influenza,12-17 Years,3327,2025-08-15
2025-03-29,Influenza,18-64 Years,16958,2025-08-15
2025-03-29,Influenza,65+ Years,5966,2025-08-15
2025-03-29,RSV,All Ages,5541,2025-08-15
2025-03-29,RSV,00-01 Years,2152,2025-08-15
2025-03-29,RSV,02-04 Years,825,2025-08-15
2025-03-29,RSV,05-11 Years,285,2025-08-15
2025-03-29,RSV,12-17 Years,90,2025-08-15
2025-03-29,RSV,18-64 Years,1026,2025-08-15
2025-03-29,RSV,65+ Years,1163,2025-08-15
2025-03-29,Combined,All Ages,61452,2025-08-15
2025-03-29,Combined,00-01 Years,6457,2025-08-15
2025-03-29,Combined,02-04 Years,4314,2025-08-15
2025-03-29,Combined,05-11 Years,7651,2025-08-15
2025-03-29,Combined,12-17 Years,3942,2025-08-15
2025-03-29,Combined,18-64 Years,25748,2025-08-15
2025-03-29,Combined,65+ Years,13340,2025-08-15
2025-04-05,COVID-19,All Ages,15198,2025-08-15
2025-04-05,COVID-19,00-01 Years,1625,2025-08-15
2025-04-05,COVID-19,02-04 Years,359,2025-08-15
2025-04-05,COVID-19,05-11 Years,399,2025-08-15
2025-04-05,COVID-19,12-17 Years,445,2025-08-15
2025-04-05,COVID-19,18-64 Years,6787,2025-08-15
2025-04-05,COVID-19,65+ Years,5583,2025-08-15
2025-04-05,Influenza,All Ages,29296,2025-08-15
2025-04-05,Influenza,00-01 Years,1799,2025-08-15
2025-04-05,Influenza,02-04 Years,2301,2025-08-15
2025-04-05,Influenza,05-11 Years,5470,2025-08-15
2025-04-05,Influenza,12-17 Years,2722,2025-08-15
2025-04-05,Influenza,18-64 Years,12904,2025-08-15
2025-04-05,Influenza,65+ Years,4100,2025-08-15
2025-04-05,RSV,All Ages,4482,2025-08-15
2025-04-05,RSV,00-01 Years,1744,2025-08-15
2025-04-05,RSV,02-04 Years,623,2025-08-15
2025-04-05,RSV,05-11 Years,224,2025-08-15
2025-04-05,RSV,12-17 Years,59,2025-08-15
2025-04-05,RSV,18-64 Years,854,2025-08-15
2025-04-05,RSV,65+ Years,978,2025-08-15
2025-04-05,Combined,All Ages,48976,2025-08-15
2025-04-05,Combined,00-01 Years,5168,2025-08-15
2025-04-05,Combined,02-04 Years,3283,2025-08-15
